0000000000011b24,gss_release_oid@@gssapi_krb5_2_MIT
0000000000013390,gss_display_name_ext@@gssapi_krb5_2_MIT
0000000000014340,gss_export_name@@gssapi_krb5_2_MIT
0000000000021264,gss_indicate_mechs_by_attrs@@gssapi_krb5_2_MIT
000000000001f6f0,gss_display_mech_attr@@gssapi_krb5_2_MIT
0000000000016fd0,gss_inquire_names_for_mech@@gssapi_krb5_2_MIT
000000000001a840,gss_get_mic_iov@@gssapi_krb5_2_MIT
0000000000016ab0,gss_init_sec_context@@gssapi_krb5_2_MIT
0000000000015cc0,gss_duplicate_name@@gssapi_krb5_2_MIT
000000000001f8b0,gss_create_empty_oid_set@@gssapi_krb5_2_MIT
0000000000019f60,gss_set_neg_mechs@@gssapi_krb5_2_MIT
0000000000016770,gss_userok@@gssapi_krb5_2_MIT
0000000000021090,gss_release_oid_set@@gssapi_krb5_2_MIT
000000000001a700,gss_wrap_iov_length@@gssapi_krb5_2_MIT
000000000001a0b4,gss_get_mic@@gssapi_krb5_2_MIT
0000000000020600,gss_unwrap_aead@@gssapi_krb5_2_MIT
0000000000015ea0,gss_import_cred@@gssapi_krb5_2_MIT
