000000000005bb00,fallback_compctlread
00000000000b62c0,adjustwinsize
00000000000b50d0,substnamedir
0000000000089f24,setnparam
0000000000076b40,addparamdef
0000000000084120,getiparam
00000000000756ec,matheval
000000000009b900,killrunjobs
000000000006c1a0,newsizedlist
00000000000816cc,errnogetfn
00000000000537c0,subst
0000000000052220,iaddtoline
000000000005e524,init_misc
0000000000099a60,noholdintr
00000000000bb9a4,arrdup_max
00000000000bb4a0,subst_string_by_func
0000000000081ca0,parse_context_save
00000000000996a0,free_colour_buffer
000000000005d668,cleanfilelists
0000000000066fe8,add
0000000000035320,hashcmd
000000000006cf70,zinsertlinknode
000000000005cc90,parseopts
000000000002d224,bin_getopts
0000000000080dc8,poundgetfn
0000000000099ff0,set_default_colour_sequences
0000000000059fe0,makerunning
0000000000059ee0,inpop
0000000000061964,spawnjob
00000000000a3eac,strmetasort
000000000009a0ac,mb_patmatchrange
000000000006a200,popheap
00000000000b53ec,callhookfunc
0000000000029300,bin_hash
0000000000079640,createspecialhash
00000000000baea0,init_dirsav
000000000001b8a0,bin_dirs
000000000004e4a0,hist_is_in_word
000000000006d0c0,pushheap
000000000005006c,inithist
0000000000061048,ingetc
000000000009aa0c,stradd
00000000000aeb20,zcloselockfd
000000000007c350,featuresarray
00000000000b8480,sepsplit
000000000002ea00,zgetcwd
000000000002d864,zexit
000000000006a4a8,zheapptr
0000000000034e60,untokenize
00000000000999c0,signal_block
00000000000a38a0,zstrcmp
0000000000080fe8,wordcharsgetfn
00000000000949e8,decrdumpcount
00000000000359e0,setunderscore
000000000006bd28,zhalloc
0000000000026320,zchdir
0000000000033420,bin_eval
00000000000778c0,list_emulate_options
000000000009b080,allocate_colour_buffer
00000000000b3ea8,zstrtol
000000000004f930,emptyhashtable
00000000000557c0,lockhistfile
000000000004f984,emptyhisttable
0000000000056700,histsplitwords
00000000000818a8,delenv
000000000006a9e4,module_linked
00000000000a7cb0,singsub
000000000005d4d0,pipecleanfilelist
0000000000026280,_realexit
000000000007a820,require_module
00000000000831e0,gethkparam
0000000000076584,deleteparamdef
00000000000b4600,print_if_link
0000000000097670,bin_zcompile
0000000000086190,terminfodirssetfn
000000000005c240,shinbufsave
0000000000022360,bin_typeset
000000000005d6e0,setupvals
00000000000824c0,convfloat
000000000009b0c0,set_colour_attribute
0000000000069bc4,insertlinklist
0000000000077964,assigngetset
00000000000bdaa8,nicedup
000000000007d12c,bin_setopt
0000000000043b84,loadautofn
00000000000a46c0,ztrduppfx
000000000004ce40,removehashnode
00000000000bbd48,quotestring
00000000000859c0,unsetparam_pm
00000000000897c4,setnumvalue
0000000000077580,emulate
000000000004d080,histstrcmp
000000000004ee00,histbackword
0000000000069cd0,remnode
00000000000be388,getkeystring
0000000000027808,bin_alias
000000000006e4a0,exalias
0000000000082c64,egidsetfn
00000000000996e4,install_handler
0000000000099be0,signal_suspend
000000000003df10,execlist
00000000000baecc,restoredir
0000000000099c8c,queue_traps
00000000000b5044,fprintdir
00000000000841a0,getnumvalue
000000000009a5c8,match_colour
000000000004c920,getmatchlist
00000000000bb120,mode_to_octal
000000000004cfc4,enablehashnode
0000000000060d80,initjob
0000000000077220,module_loaded
