0000000000018ba0,selinux_restorecon_set_sehandle@@LIBSELINUX_1.0
00000000000171ac,getexeccon_raw@@LIBSELINUX_1.0
0000000000019c24,setcon@@LIBSELINUX_1.0
0000000000019ee0,setkeycreatecon@@LIBSELINUX_1.0
0000000000017490,query_user_context@@LIBSELINUX_1.0
000000000001730c,setsockcreatecon_raw@@LIBSELINUX_1.0
0000000000021884,rpm_execcon@@LIBSELINUX_1.0
000000000000d860,security_canonicalize_context@@LIBSELINUX_1.0
000000000001fc08,print_access_vector@@LIBSELINUX_1.0
000000000000cbe0,selabel_cmp@@LIBSELINUX_1.0
0000000000018060,selinux_customizable_types_path@@LIBSELINUX_1.0
0000000000017850,selinux_getenforcemode@@LIBSELINUX_1.0
000000000001940c,getsockcreatecon@@LIBSELINUX_1.0
000000000000c204,avc_open@@LIBSELINUX_1.0
00000000000128f0,selinux_file_context_path@@LIBSELINUX_1.0
0000000000018d40,selinux_restorecon_set_alt_rootpath@@LIBSELINUX_1.0
00000000000219e0,setfilecon@@LIBSELINUX_1.0
00000000000173e4,getpidcon_raw@@LIBSELINUX_1.0
0000000000019280,getexeccon@@LIBSELINUX_1.0
00000000000162c0,selinux_file_context_cmp@@LIBSELINUX_1.0
0000000000017b70,selinux_set_policy_root@@LIBSELINUX_1.0
0000000000019344,getfscreatecon@@LIBSELINUX_1.0
000000000000db40,security_compute_relabel@@LIBSELINUX_1.0
000000000001a6ac,matchpathcon@@LIBSELINUX_1.0
0000000000018180,selinux_user_contexts_path@@LIBSELINUX_1.0
0000000000015c80,set_matchpathcon_invalidcon@@LIBSELINUX_1.0
0000000000007e40,avc_cache_stats@@LIBSELINUX_1.0
00000000000177c0,selinux_securetty_types_path@@LIBSELINUX_1.0
00000000000138c4,security_load_policy@@LIBSELINUX_1.0
00000000000098d0,security_get_checkreqprot@@LIBSELINUX_1.0
0000000000017de0,selinux_removable_context_path@@LIBSELINUX_1.0
000000000000aab0,context_role_set@@LIBSELINUX_1.0
000000000000c760,fini_selinuxmnt@@LIBSELINUX_1.0
000000000000e350,get_default_context_with_rolelevel@@LIBSELINUX_1.0
000000000000bb60,avc_get_initial_sid@@LIBSELINUX_1.0
000000000000dd40,fgetfilecon@@LIBSELINUX_1.0
0000000000017684,security_reject_unknown@@LIBSELINUX_1.0
000000000000fb60,avc_netlink_loop@@LIBSELINUX_1.0
0000000000018690,selinux_virtual_domain_context_path@@LIBSELINUX_1.0
0000000000007d64,freecon@@LIBSELINUX_1.0
000000000001a6c4,matchpathcon_index@@LIBSELINUX_1.0
000000000000aae0,context_user_set@@LIBSELINUX_1.0
000000000000c2c0,avc_init@@LIBSELINUX_1.0
000000000000fa20,avc_netlink_check_nb@@LIBSELINUX_1.0
00000000000195a8,getpidcon@@LIBSELINUX_1.0
000000000000e904,getpeercon@@LIBSELINUX_1.0
0000000000019ccc,setexeccon@@LIBSELINUX_1.0
0000000000019e2c,setsockcreatecon@@LIBSELINUX_1.0
000000000000aa4c,context_range_get@@LIBSELINUX_1.0
