0000000000015674,sudo_vwarn_nodebug_v1
0000000000013b70,sudo_conf_read_v1
000000000000d190,sudo_json_init_v2
0000000000018ee0,sudo_mkostempsat
0000000000010dc0,sudo_secure_file_v1
0000000000011fd0,sudo_strtoidx_v1
0000000000016260,sudo_sig2str
0000000000006a50,sudo_stat_multiarch_v1
00000000000068b0,sudo_mmap_alloc_v1
0000000000011d00,sudo_strtobool_v1
00000000000145d0,sudo_debug_exit_ssize_t_v1
000000000000e7d0,sudo_lbuf_append_quoted_v1
00000000000124a4,sudo_strtoid_v1
0000000000008a40,sudo_debug_register_v1
00000000000156c0,sudo_vwarnx_nodebug_v1
0000000000006830,sudo_json_get_len_v1
0000000000018e60,sudo_mkdtemp
00000000000124c0,sudo_strtoid_v2
00000000000082b4,sudo_debug_register_v2
000000000000c1b0,sudo_ev_pending_v1
0000000000010e20,sudo_secure_fd_v1
0000000000006770,sudo_gethostname_v1
000000000000bfe0,sudo_ev_pending_v2
000000000000abd0,sudo_new_key_val_v1
0000000000011b04,sudo_open_conf_path_v1
00000000000113e0,sudo_open_parent_dir_v1
00000000000069c0,sudo_mmap_protect_v1
0000000000018a44,sudo_arc4random_buf
000000000000a660,sudo_ev_free_v1
00000000000091b0,sudo_digest_reset_v1
00000000000072d0,sudo_debug_write2_v1
000000000000d3a0,sudo_json_free_v1
000000000000aad0,sudo_ev_got_break_v1
0000000000009ef4,sudo_ev_set_v1
00000000000158a4,sudo_gai_vwarn_nodebug_v1
0000000000014724,sudo_debug_exit_str_v1
0000000000009da0,sudo_ev_set_v2
0000000000014e14,sudo_term_noecho_v1
0000000000007024,sudo_conf_developer_mode_v1
000000000000df50,sudo_lbuf_init_v1
0000000000008b84,sudo_debug_vprintf2_v1
0000000000006810,sudo_json_get_buf_v1
0000000000007820,sudo_dso_load_v1
000000000000f004,sudo_lbuf_print_v1
